OBJECTID,Longitude,Latitude,Section,Destination,Timestamp,Color,Time,Date
191,117.3009042,34.21543991,To Pengcheng,Waterways,,#DC143C,2013-3-8 19:15,"March 8th, 13 BC"
192,117.3013067,34.21993198,To Pengcheng,Waterways,,#DC143C,2013-3-8 19:18,"March 8th, 13 BC"
193,117.3023438,34.22435677,To Pengcheng,Waterways,,#DC143C,2013-3-8 19:22,"March 8th, 13 BC"
194,117.3037136,34.2287197,To Pengcheng,Waterways,,#DC143C,2013-3-8 19:25,"March 8th, 13 BC"
195,117.3052394,34.23304717,To Pengcheng,Waterways,,#DC143C,2013-3-8 19:29,"March 8th, 13 BC"
196,117.3067794,34.23737116,To Pengcheng,Waterways,,#DC143C,2013-3-8 19:32,"March 8th, 13 BC"
197,117.3081744,34.24172859,To Pengcheng,Waterways,,#DC143C,2013-3-8 19:36,"March 8th, 13 BC"
198,117.3091371,34.24616332,To Pengcheng,Waterways,,#DC143C,2013-3-8 19:39,"March 8th, 13 BC"
199,117.3088578,34.25063809,To Pengcheng,Waterways,,#DC143C,2013-3-8 19:43,"March 8th, 13 BC"
200,117.3052538,34.25375112,To Pengcheng,Waterways,,#DC143C,2013-3-8 19:46,"March 8th, 13 BC"
201,117.2998813,34.25431285,To Pengcheng,Waterways,,#DC143C,2013-3-8 19:50,"March 8th, 13 BC"
202,117.2944739,34.25398832,To Pengcheng,Waterways,,#DC143C,2013-3-8 19:53,"March 8th, 13 BC"
203,117.2897889,34.25185067,To Pengcheng,Waterways,,#DC143C,2013-3-8 19:57,"March 8th, 13 BC"
204,117.2864923,34.2482811,To Pengcheng,Waterways,,#DC143C,2013-3-8 20:00,"March 8th, 13 BC"
205,117.2838032,34.24436437,To Pengcheng,Waterways,,#DC143C,2013-3-8 20:04,"March 8th, 13 BC"
206,117.2810789,34.24046495,To Pengcheng,Waterways,,#DC143C,2013-3-8 20:07,"March 8th, 13 BC"
207,117.2776315,34.23700146,To Pengcheng,Waterways,,#DC143C,2013-3-8 20:11,"March 8th, 13 BC"
208,117.2727145,34.23531095,To Pengcheng,Waterways,,#DC143C,2013-3-8 20:14,"March 8th, 13 BC"
209,117.2673399,34.23586513,To Pengcheng,Waterways,,#DC143C,2013-3-8 20:18,"March 8th, 13 BC"
210,117.2619632,34.2364108,To Pengcheng,Waterways,,#DC143C,2013-3-8 20:21,"March 8th, 13 BC"
211,117.2568446,34.23505014,To Pengcheng,Waterways,,#DC143C,2013-3-8 20:24,"March 8th, 13 BC"
212,117.2522327,34.23267189,To Pengcheng,Waterways,,#DC143C,2013-3-8 20:28,"March 8th, 13 BC"
213,117.2472208,34.23100306,To Pengcheng,Waterways,,#DC143C,2013-3-8 20:31,"March 8th, 13 BC"
214,117.2418634,34.2302951,To Pengcheng,Waterways,,#DC143C,2013-3-8 20:35,"March 8th, 13 BC"
215,117.2364415,34.2302658,To Pengcheng,Waterways,,#DC143C,2013-3-8 20:38,"March 8th, 13 BC"
216,117.2311698,34.23126652,To Pengcheng,Waterways,,#DC143C,2013-3-8 20:42,"March 8th, 13 BC"
217,117.2270606,34.23413273,To Pengcheng,Waterways,,#DC143C,2013-3-8 20:45,"March 8th, 13 BC"
218,117.2241571,34.237939,To Pengcheng,Waterways,,#DC143C,2013-3-8 20:49,"March 8th, 13 BC"
219,117.2213306,34.24178723,To Pengcheng,Waterways,,#DC143C,2013-3-8 20:52,"March 8th, 13 BC"
220,117.2175941,34.24502392,To Pengcheng,Waterways,,#DC143C,2013-3-8 20:56,"March 8th, 13 BC"
221,117.2127435,34.24703689,To Pengcheng,Waterways,,#DC143C,2013-3-8 20:59,"March 8th, 13 BC"
222,117.2082745,34.24952847,To Pengcheng,Waterways,,#DC143C,2013-3-8 21:03,"March 8th, 13 BC"
223,117.2058809,34.25354809,To Pengcheng,Waterways,,#DC143C,2013-3-8 21:06,"March 8th, 13 BC"
224,117.20392,34.25774738,To Pengcheng,Waterways,,#DC143C,2013-3-8 21:10,"March 8th, 13 BC"
225,117.2003616,34.26111789,To Pengcheng,Waterways,,#DC143C,2013-3-8 21:13,"March 8th, 13 BC"
226,117.1958774,34.26364688,To Pengcheng,Waterways,,#DC143C,2013-3-8 21:17,"March 8th, 13 BC"
227,117.1908861,34.26540973,To Pengcheng,Waterways,,#DC143C,2013-3-8 21:20,"March 8th, 13 BC"
228,117.1884857,34.26599053,To Pengcheng,Waterways,,#DC143C,2013-3-8 21:24,"March 8th, 13 BC"
